property_name,property_address,latitude,longitude,OpenStreetMap_address,property_price,property_description,tipe_property,certificate,dilengkapi_perabotan,kondisi_properti,jalur_telepon,jumlah_lantai,daya_listrik,tanggal_tayang,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,garasi_mobil
"Rumah Subsidi Taman Arizona 4, lorong Seroja, Talang Jambe, Kota Palembang, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 140.000.000,"WA Sekarang Yudy

New Listing Dijual Rumah Subsidi Taman Arizona 4 di Jalan Pesantren Sultan Mahmud Baddaruddin II, lorong Seroja, Talang Jambe, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961 

Luas tanah : 90 m2
Luas bangunan : 36 m2
Kamar tidur : 2 unit
Kamar mandi : 1 unit

Spesifikasi :
Sertifikat Hak Milik
Listrik 1300 watt
Air Sumur 
Carport 1 mobil
Berkeramik
Plafond
Plester Luar Dalam dan di cat

Nilai lebih :
1 menit ke Sekolah Menengah Pertama Negeri SMPN 59 Talang Jambi
1 menit ke Pasar Tradisional Simpang Tiga Mataram, Talang Jambi
2 menit ke Taman Pendidikan Al-Qur'an (TPA/TPQ) Baitur Rahim Talang Jambe
2 menit ke Sekolah Dasar Negeri SDN 134 Talang Jambe
2 menit ke Pesantren Ma'rifatullah Talang Jambe
2 menit ke kantor Kelurahan Talang Jambe
2 menit ke klinik Aulia Medika
2 menit ke Sekolah Menengah Atas SMA Pesantren Sultan Mahmud Badaruddin Palembang, Talang Jambe
3 menit Ke Bandara Internasional Sultan Mahmud Badaruddin SMB II 2
5 menit Ke KFC simpang Bandara",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,04 Sep 2020, 36 m², 90 m²,2,1,
"Townhouse murah (2 lantai) GREEN CENTER PARK PALEMBANG, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 729.000.000,"Green center park palembang!

Hunian komersil terbaik dikelasnya.

Terletak di jantung kota alang-alang lebar palembang.

Promo:
*Cashbcak 10%.

*Free biaya AJB,BPHTB,dan Biaya Balik Nama

Cicilan kpr 5-6jtaan

Fasum:
One gate system
Cctv 24 jam
Jalan komplek lebar 7-8M
Ruang serba guna
Mushola
Taman penghijauan
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat warung kudeta
Dekat sekolah
Dekat giant
Dekat bandara
Jogging track


Segera hubungi :
Tian 0813 5320 9990 (WA)",Rumah,SHM - Sertifikat Hak Milik,,Baru,,2,2200,19 Nov 2020, 77 m², 104 m²,2,3,1
"RUMAH murah 300JT-AN GREEN CENTER PARK PALEMBANG, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 365.000.000,"Investasi cerdas untuk masa Depan!!

Green center park palembang.

Hunian komersil terbaik dikelasnya

Terletak di jantung kota alang-alang lebar palembang.

Promo:
*Tanpa DP (untuk KPR rumah pertama)
*Cashbcak 10%.
*Free biaya akad KPR.
*Free biaya AJB,BPHTB,dan Biaya Balik Nama

Cicilan kpr 2,5jutaan dan 3 (jutaan)

Fasum:
One gate system
Cctv 24 jam
Jalan komplek lebar 7-8M
Ruang serba guna
Mushola
Taman penghijauan
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat warung kudeta
Dekat sekolah
Dekat giant
Dekat bandara
Jogging track.


Segera hubungi :
Tian 0813 5320 9990 (WA)",Rumah,SHM - Sertifikat Hak Milik,,Baru,,1,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"RUMAH KOS MURAH DAN TERISI HARGAA NEGO LOKASI PALEMBANG, Ilir Timur II, Palembang","Ilir Timur II, Palembang ",-2.9659463,104.77772717002355,"Ilir Timur II, Palembang, Sumatera Selatan, Indonesia",Rp. 928.000.000,"Kode Aset: DANAMON/ 6B0140

Luas Tanah: 133 m2
Luas Bangunan: 315 m2
Kamar Tidur : 12
kamar Mandi : 3
Arah Bangunan: Barat
Jumlah Lantai: 3
Daya PLN: 2.200 watt
Sumber Air: PAM
Sertifikasi: SHM - Sertifikat Hak Milik
Nego Sampai deal (Cash/KPR/KPA/KPT)

Listing Aset properti Jaminan Bank DANAMON
Aset properti dari Bank terpercaya, Sertifikat dan lainnya aman tidak diragukan keasliannya, harga murah, bisa nego sampai deal.

Keuntungan membeli Aset:
- Bisa dapat harga dibawah pasar
- Kondisi Bagus
- Properti tertata baik
- Lokasi strategis pinggir jalan, dekat dengan mall, rumah sakit, sekolah, dll.

Dapatkan properti murah berkualitas sekarang juga!
More Info Private Viewing
Contact: 081212217324 atau 081213386488",Rumah,SHM - Sertifikat Hak Milik,Semi Furnished,Bagus,,3,2200,11 Dec 2020, 315 m², 133 m²,12,3,
"Rumah Hook di Palembang, Ilir Timur I, Palembang","Ilir Timur I, Palembang ",-2.9781197500000003,104.75527385678066,"Ilir Timur I, Palembang, Sumatera Selatan, Indonesia",Rp. 1.500.000.000,"Posisi rumah hadap timur, 3600 watt, ada garasi, posisi tengah kota - hook, bisa dilewati 2 jalur mobil",Rumah,,Unfurnished,Sudah Renovasi,1,3,3500,19 Oct 2020, 150 m², 137 m²,2,3,1
"Rumah Subsidi Taman Arizona Abadi di Jalan  Mayor Zen Lorong Abadi Palembang Sei Selincah, Kalidoni, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 140.000.000,"WA Sekarang :
Yudy 

New Listing Dijual Rumah Subsidi Taman Arizona Abadi di Jalan Mayor Zen Lorong Abadi Palembang Sei Selincah, Kalidoni, Sumatra Selatan 30161

Luas tanah : 78 m2
Luas bangunan : 36 m2
Kamar tidur : 2 unit
Kamar mandi : 1 unit

Harga : Rp 140.000.000

Spesifikasi :
Sertifikat Hak Milik
Listrik 1300 watt
Air Sumur 
Carport 1 mobil
Berkeramik
Plafond
Plester Luar Dalam dan di cat

Nilai lebih :
1 menit ke Pondok Pesantren Ponpes Jam'iyyah Khoiriyyah Palembang
2 menit ke Sekolah Dasar Plus Ditawijaya Kalidoni Palembang
2 menit ke Numero Uno Fitness and Aerobics PUSRI Palembang
3 menit ke Sekolah Menengah Pertama SMP Dharma Bakti Palembang
3 menit ke Sekolah Menengah Atas SMA Dharma Bakti Palembang
3 menit ke Sekolah Dasar SD PUSRI Palembang
3 menit ke Sekolah Menengah Pertama SMP PUSRI Palembang
3 menit ke Sekolah Menengah Atas SMA PUSRI Palembang
4 menit ke PT Pupuk Sriwidjaja PUSRI Palembang
4 menit ke PT Musi Banyuasin Indah Wilmar Group ( PT.MBI )
4 menit ke RS PUSRI",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,18 Sep 2020, 36 m², 78 m²,2,1,
"Rumah Semi Furnished di komplek Citra Grand City Alang Alang Lebar Palembang Cluster Summer Meadow, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 1.500.000.000,"Info lebih lanjut hubungi:
Yudy FH

Jual Rumah Semi Furnished di komplek Citra Grand City Alang Alang Lebar Palembang Cluster Summer Meadow

Luas tanah : 150 m2
Luas bangunan : 176 m2
Kamar tidur : 3 + 1 unit
Kamar mandi : 2 + 1 unit
Jumlah lantai : 2

Harga : Rp 1.500.000.000 / unit

Spesifikasi :
Sertifikat Hak Guna Bangunan 
IMB
Listrik 4400 watt
Air ATS
Lokasi di dalam komplek Citra Grand City Palembang
Furnish :
Full Renovasi
Built in wardrobe in master bed room
Kitchen set 
3 unit AC
lantai Granit
tedmon air
Gorden Lengkap
water heater solar cell

Nilai lebih :
2 menit ke minimarket Indomaret dan Alfamart terdekat
2 menit ke Masjid Raya Citra Grand City
2 menit ke Amanzi Waterpark
2 menit ke Sekolah Ignasius Global School IGS
3 menit ke puskemas Alang Alang Lebar
3 menit ke apotik K-24 Alang Alang Lebar
3 menit ke SPBU Alang Alang Lebar
5 menit ke Giant Express di Jalan Soekarno Hatta
7 menit ke Sekolah Menengah Atas Negeri SMAN 52
10 menit dari Bandara Intern",Rumah,HGB - Hak Guna Bangun,Semi Furnished,Bagus Sekali,,2,4400,18 Sep 2020, 167 m², 150 m²,3,2,
"Rumah Subsidi Full Spesifikasi Griya Kartika Jalan Mataram II, Talang Jambe Kota Palembang, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 140.000.000,"WA Sekarang :
Yudy 

Dijual Rumah Subsidi Griya Kartika di Jalan Pesantren Sultan Mahmud Baddaruddin II, Jalan Mataram II, Talang Jambe, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961 Palembang

Luas tanah : 84 m2
Luas bangunan : 36 m2
Kamar tidur : 2 unit
Kamar mandi : 1 unit

Harga : Rp 140.000.000

Spesifikasi :
Sertifikat Hak Milik
Listrik 1300 watt
Air Sumur 
Carport 1 mobil
Berkeramik
Plafond
Plester Luar Dalam dan di cat

Nilai lebih :
1 menit ke Pondok Pesantren Ma'rifattullah , Jalan Mataram II Talang Jambe
1 menit ke Perumahan Polri Mataram II Talang Jambi
2 menit ke Sekolah Menengah Pertama Negeri SMPN 59 Talang Jambi
2 menit ke Pasar Tradisional Simpang Tiga Mataram, Talang Jambi
3 menit ke Taman Pendidikan Al-Qur'an (TPA/TPQ) Baitur Rahim Talang Jambe
3 menit ke Sekolah Dasar Negeri SSDN 134 Talang Jambe
4 menit ke Pesantren Ma'rifatullah Talang Jambe
3 menit ke kantor Kelurahan Talang Jambe
3 menit ke klinik Aulia Medika
3 menit ke Sekolah Menengah Atas SMA Pesantren Sulta",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,18 Sep 2020, 36 m², 84 m²,2,1,
"Town house 3 Lantai dilapangan hatta, Ilir Barat I, Palembang","Ilir Barat I, Palembang ",-2.970133,104.67994114097745,"Ilir Barat I, Palembang, Sumatera Selatan, Indonesia",Rp. 2.250.000.000,DiJual cepat town house di lapangan hatta lokasi Pusat Kota palembang -3 menit Dari Pusat perdagangan Kota palembang( Pasar 16) Sangat cocok Bagi yang memiliki aktipitas di Pasa 16 dan sekitarnya,Rumah,SHM - Sertifikat Hak Milik,Semi Furnished,Bagus,,3,5500,05 Dec 2020, 350 m², 150 m²,3,4,
"PERUMAHAN CITRA GARDENIA KALIDONI PALEMBANG, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 750.000.000,Rumah Dijual Palembang,Rumah,SHM - Sertifikat Hak Milik,,,,,1300,06 Nov 2020, 80 m², 105 m²,3,2,
"=&gt; NOL DP &lt;= Rumah Komersil, Seberang Ulu II, Palembang","Seberang Ulu II, Palembang ",-3.0040895499999998,104.79837729811673,"Seberang Ulu II, Palembang, Sumatera Selatan, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"rumah tumbuh 15 menit dari bandara, Sako, Palembang","Sako, Palembang ",-2.9255981,104.7864873,"Sako, Palembang, Sumatera Selatan, 30163, Indonesia",Rp. 627.000.000,"dijual rumah exclusip di sako, konsep rumah tumbuh, lokasi strategis 
-5 menir dari indogrosir
- 15 menit ke bandara smb
sangat cocok utk hunian keluarga",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,2,1300,20 Dec 2020, 60 m², 108 m²,2,1,
"Rumah 300-JTAAN, Seberang Ulu I, Palembang","Seberang Ulu I, Palembang ",-3.0139369499999997,104.77189834322922,"Seberang Ulu I, Palembang, Sumatera Selatan, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"Tanpa DP Rumah Tanpa DP, Sako, Palembang","Sako, Palembang ",-2.9255981,104.7864873,"Sako, Palembang, Sumatera Selatan, 30163, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"Rumah Murah 5JT, Plaju, Palembang","Plaju, Palembang ",-3.0103848500000003,104.82151254714321,"Plaju, Palembang, Sumatera Selatan, 30268, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"Tanpa DP rumah mau?, Kertapati, Palembang","Kertapati, Palembang ",-3.0224718,104.7503114,"Kertapati, Palembang, Sumatera Selatan, 30252, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"Rumah Minimalis Lokasi strategis, Kemuning, Palembang","Kemuning, Palembang ",-2.9505602,104.74988216891136,"Kemuning, Palembang, Sumatera Selatan, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"O Rumah O DP, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 365.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!


Green Center Park Palembang.

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2,5jutaan dan 3 jutaan.

Promo Terbatas:

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!

Tanya-Tanya:

Tian

0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,19 Nov 2020, 40 m², 98 m²,2,1,
